TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION
ATL,is-visit,ATLLAL,Very Likely To Play,Trae Young,Trae Young,PG
ATL,is-visit,ATLLAL,Very Likely To Play,Kevin Huerter,Kevin Huerter,SG
ATL,is-visit,ATLLAL,Very Likely To Play,Tony Snell,Tony Snell,SF
ATL,is-visit,ATLLAL,Very Likely To Play,John Collins,John Collins,PF
ATL,is-visit,ATLLAL,Very Likely To Play,Clint Capela,Clint Capela,C
ATL,is-visit,ATLLAL,Very Unlikely To Play,Kris Dunn,K. Dunn,G
ATL,is-visit,ATLLAL,Very Unlikely To Play,Brandon Goodwin,B. Goodwin,G
ATL,is-visit,ATLLAL,Very Unlikely To Play,De'Andre Hunter,D. Hunter,F
ATL,is-visit,ATLLAL,Very Unlikely To Play,Cam Reddish,C. Reddish,F
LAL,is-home,ATLLAL,Very Likely To Play,Dennis Schroder,D. Schroder,PG
LAL,is-home,ATLLAL,Very Likely To Play,Kentavious Caldwell-Pope,K. Caldwell-Pope,SG
LAL,is-home,ATLLAL,Likely To Play,LeBron James,L. James,SF
LAL,is-home,ATLLAL,Very Likely To Play,Markieff Morris,M. Morris,PF
LAL,is-home,ATLLAL,Very Likely To Play,Damian Jones,Damian Jones,C
LAL,is-home,ATLLAL,Likely To Play,LeBron James,L. James,F
LAL,is-home,ATLLAL,Very Unlikely To Play,Anthony Davis,A. Davis,F
LAL,is-home,ATLLAL,Very Unlikely To Play,Jared Dudley,J. Dudley,F
LAL,is-home,ATLLAL,Very Unlikely To Play,Marc Gasol,Marc Gasol,C
SAC,is-visit,SACPHI,Very Likely To Play,De'Aaron Fox,De'Aaron Fox,PG
SAC,is-visit,SACPHI,Very Likely To Play,Tyrese Haliburton,T. Haliburton,SG
SAC,is-visit,SACPHI,Very Likely To Play,Buddy Hield,Buddy Hield,SF
