TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION
IND,is-visit,INDMIA,Very Likely To Play,Malcolm Brogdon,M. Brogdon,PG
IND,is-visit,INDMIA,Very Likely To Play,Caris LeVert,Caris LeVert,SG
IND,is-visit,INDMIA,Very Likely To Play,Justin Holiday,J. Holiday,SF
IND,is-visit,INDMIA,Very Likely To Play,Domantas Sabonis,D. Sabonis,PF
IND,is-visit,INDMIA,Very Likely To Play,Myles Turner,Myles Turner,C
IND,is-visit,INDMIA,Toss Up To Play,Jalen Lecque,J. Lecque,G
IND,is-visit,INDMIA,Toss Up To Play,JaKarr Sampson,J. Sampson,F
IND,is-visit,INDMIA,Very Unlikely To Play,T.J. Warren,T. Warren,F
MIA,is-home,INDMIA,Very Likely To Play,Kendrick Nunn,Kendrick Nunn,PG
MIA,is-home,INDMIA,Very Likely To Play,Duncan Robinson,D. Robinson,SG
MIA,is-home,INDMIA,Very Likely To Play,Jimmy Butler,Jimmy Butler,SF
MIA,is-home,INDMIA,Very Likely To Play,Bam Adebayo,Bam Adebayo,PF
MIA,is-home,INDMIA,Very Likely To Play,Kelly Olynyk,Kelly Olynyk,C
MIA,is-home,INDMIA,Likely To Play,Gabe Vincent,G. Vincent,G
MIA,is-home,INDMIA,Toss Up To Play,Goran Dragic,G. Dragic,G
MIA,is-home,INDMIA,Toss Up To Play,Andre Iguodala,A. Iguodala,F
MIA,is-home,INDMIA,Very Unlikely To Play,Avery Bradley,A. Bradley,G
MIA,is-home,INDMIA,Very Unlikely To Play,Udonis Haslem,U. Haslem,C
OKC,is-visit,OKCHOU,Very Likely To Play,Ty Jerome,Ty Jerome,PG
OKC,is-visit,OKCHOU,Very Likely To Play,Luguentz Dort,Luguentz Dort,SG
OKC,is-visit,OKCHOU,Very Likely To Play,Aleksej Pokusevski,A. Pokusevski,SF
OKC,is-visit,OKCHOU,Very Likely To Play,Isaiah Roby,Isaiah Roby,PF
OKC,is-visit,OKCHOU,Very Likely To Play,Moses Brown,Moses Brown,C
OKC,is-visit,OKCHOU,Very Unlikely To Play,Darius Bazley,D. Bazley,F
OKC,is-visit,OKCHOU,Very Unlikely To Play,Shai Gilgeous-Alexander,S. Gilgeous-Alexander,G
OKC,is-visit,OKCHOU,Very Unlikely To Play,Josh Hall,Josh Hall,F
OKC,is-visit,OKCHOU,Very Unlikely To Play,George Hill,G. Hill,G
OKC,is-visit,OKCHOU,Very Unlikely To Play,Al Horford,Al Horford,C
HOU,is-home,OKCHOU,Very Likely To Play,John Wall,John Wall,PG
HOU,is-home,OKCHOU,Very Likely To Play,Victor Oladipo,V. Oladipo,SG
HOU,is-home,OKCHOU,Very Likely To Play,Danuel House,Danuel House,SF
HOU,is-home,OKCHOU,Very Likely To Play,Jae'Sean Tate,Jae'Sean Tate,PF
HOU,is-home,OKCHOU,Very Likely To Play,Christian Wood,C. Wood,C
HOU,is-home,OKCHOU,Very Unlikely To Play,D.J. Augustin,D. Augustin,G
HOU,is-home,OKCHOU,Very Unlikely To Play,Dante Exum,Dante Exum,G
HOU,is-home,OKCHOU,Very Unlikely To Play,Eric Gordon,E. Gordon,G
HOU,is-home,OKCHOU,Very Unlikely To Play,David Nwaba,D. Nwaba,F
HOU,is-home,OKCHOU,Very Unlikely To Play,Kevin Porter,K. Porter,G
NO,is-visit,NODEN,Toss Up To Play,Lonzo Ball,Lonzo Ball,PG
NO,is-visit,NODEN,Very Likely To Play,Eric Bledsoe,Eric Bledsoe,SG
NO,is-visit,NODEN,Very Likely To Play,Brandon Ingram,B. Ingram,SF
NO,is-visit,NODEN,Very Likely To Play,Zion Williamson,Z. Williamson,PF
NO,is-visit,NODEN,Very Likely To Play,Steven Adams,Steven Adams,C
NO,is-visit,NODEN,Toss Up To Play,Lonzo Ball,Lonzo Ball,G
NO,is-visit,NODEN,Very Unlikely To Play,JJ Redick,JJ Redick,G
DEN,is-home,NODEN,Very Likely To Play,Jamal Murray,Jamal Murray,PG
