TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,LINEUP_DESC,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION,CREATE_DTTM
SAC,is-visit,SACCLE,is-expected,Very Likely To Play,De'Aaron Fox,De'Aaron Fox,PG,2021-03-22 09:21:10.189752
SAC,is-visit,SACCLE,is-expected,Very Likely To Play,Tyrese Haliburton,T. Haliburton,SG,2021-03-22 09:21:10.189752
SAC,is-visit,SACCLE,is-expected,Very Likely To Play,Buddy Hield,Buddy Hield,SF,2021-03-22 09:21:10.189752
SAC,is-visit,SACCLE,is-expected,Very Likely To Play,Harrison Barnes,H. Barnes,PF,2021-03-22 09:21:10.189752
SAC,is-visit,SACCLE,is-expected,Very Likely To Play,Richaun Holmes,R. Holmes,C,2021-03-22 09:21:10.189752
SAC,is-visit,SACCLE,,Very Unlikely To Play,Marvin Bagley,M. Bagley,F,2021-03-22 09:21:10.189752
SAC,is-visit,SACCLE,,Very Unlikely To Play,Chimezie Metu,C. Metu,C,2021-03-22 09:21:10.189752
SAC,is-visit,SACCLE,,Very Unlikely To Play,Jahmi'us Ramsey,J. Ramsey,G,2021-03-22 09:21:10.189752
CLE,is-home,SACCLE,is-expected,Very Likely To Play,Darius Garland,D. Garland,PG,2021-03-22 09:21:10.189752
CLE,is-home,SACCLE,is-expected,Very Likely To Play,Collin Sexton,Collin Sexton,SG,2021-03-22 09:21:10.189752
CLE,is-home,SACCLE,is-expected,Very Likely To Play,Isaac Okoro,Isaac Okoro,SF,2021-03-22 09:21:10.189752
CLE,is-home,SACCLE,is-expected,Very Likely To Play,Larry Nance,Larry Nance,PF,2021-03-22 09:21:10.189752
CLE,is-home,SACCLE,is-expected,Very Likely To Play,Jarrett Allen,Jarrett Allen,C,2021-03-22 09:21:10.189752
CLE,is-home,SACCLE,,Very Likely To Play,Matthew Dellavedova,M. Dellavedova,G,2021-03-22 09:21:10.189752
CLE,is-home,SACCLE,,Very Likely To Play,Kevin Love,Kevin Love,F,2021-03-22 09:21:10.189752
CLE,is-home,SACCLE,,Very Likely To Play,Taurean Prince,T. Prince,F,2021-03-22 09:21:10.189752
CLE,is-home,SACCLE,,Very Unlikely To Play,Andre Drummond,A. Drummond,C,2021-03-22 09:21:10.189752
OKC,is-visit,OKCMIN,is-expected,Very Likely To Play,Theo Maledon,Theo Maledon,PG,2021-03-22 09:21:10.189752
OKC,is-visit,OKCMIN,is-expected,Toss Up To Play,Shai Gilgeous-Alexander,S. Gilgeous-Alexander,SG,2021-03-22 09:21:10.189752
OKC,is-visit,OKCMIN,is-expected,Very Likely To Play,Aleksej Pokusevski,A. Pokusevski,SF,2021-03-22 09:21:10.189752
OKC,is-visit,OKCMIN,is-expected,Very Likely To Play,Isaiah Roby,Isaiah Roby,PF,2021-03-22 09:21:10.189752
OKC,is-visit,OKCMIN,is-expected,Toss Up To Play,Al Horford,Al Horford,C,2021-03-22 09:21:10.189752
OKC,is-visit,OKCMIN,,Very Likely To Play,Josh Hall,Josh Hall,F,2021-03-22 09:21:10.189752
OKC,is-visit,OKCMIN,,Very Likely To Play,George Hill,G. Hill,G,2021-03-22 09:21:10.189752
OKC,is-visit,OKCMIN,,Toss Up To Play,Shai Gilgeous-Alexander,S. Gilgeous-Alexander,G,2021-03-22 09:21:10.189752
OKC,is-visit,OKCMIN,,Very Unlikely To Play,Darius Bazley,D. Bazley,F,2021-03-22 09:21:10.189752
MIN,is-home,OKCMIN,is-expected,Very Likely To Play,Ricky Rubio,Ricky Rubio,PG,2021-03-22 09:21:10.189752
MIN,is-home,OKCMIN,is-expected,Very Likely To Play,Anthony Edwards,A. Edwards,SG,2021-03-22 09:21:10.189752
MIN,is-home,OKCMIN,is-expected,Very Likely To Play,Josh Okogie,Josh Okogie,SF,2021-03-22 09:21:10.189752
MIN,is-home,OKCMIN,is-expected,Very Likely To Play,Jaden McDaniels,J. McDaniels,PF,2021-03-22 09:21:10.189752
MIN,is-home,OKCMIN,is-expected,Very Likely To Play,Karl-Anthony Towns,K. Towns,C,2021-03-22 09:21:10.189752
MIN,is-home,OKCMIN,,Very Likely To Play,Jarrett Culver,J. Culver,F,2021-03-22 09:21:10.189752
MIN,is-home,OKCMIN,,Very Unlikely To Play,Malik Beasley,M. Beasley,G,2021-03-22 09:21:10.189752
MIN,is-home,OKCMIN,,Very Unlikely To Play,Jordan McLaughlin,J. McLaughlin,G,2021-03-22 09:21:10.189752
MIN,is-home,OKCMIN,,Very Unlikely To Play,D'Angelo Russell,D. Russell,G,2021-03-22 09:21:10.189752
CHA,is-visit,CHASA,is-expected,Very Likely To Play,Devonte' Graham,D. Graham,PG,2021-03-22 09:21:10.189752
CHA,is-visit,CHASA,is-expected,Likely To Play,Terry Rozier,T. Rozier,SG,2021-03-22 09:21:10.189752
CHA,is-visit,CHASA,is-expected,Very Likely To Play,Gordon Hayward,G. Hayward,SF,2021-03-22 09:21:10.189752
CHA,is-visit,CHASA,is-expected,Very Likely To Play,P.J. Washington,P. Washington,PF,2021-03-22 09:21:10.189752
CHA,is-visit,CHASA,is-expected,Very Likely To Play,Bismack Biyombo,B. Biyombo,C,2021-03-22 09:21:10.189752
CHA,is-visit,CHASA,,Likely To Play,Terry Rozier,T. Rozier,G,2021-03-22 09:21:10.189752
CHA,is-visit,CHASA,,Very Unlikely To Play,Cody Zeller,C. Zeller,C,2021-03-22 09:21:10.189752
SA,is-home,CHASA,is-expected,Very Likely To Play,Lonnie Walker,Lonnie Walker,PG,2021-03-22 09:21:10.189752
SA,is-home,CHASA,is-expected,Very Likely To Play,Derrick White,Derrick White,SG,2021-03-22 09:21:10.189752
SA,is-home,CHASA,is-expected,Very Likely To Play,DeMar DeRozan,DeMar DeRozan,SF,2021-03-22 09:21:10.189752
SA,is-home,CHASA,is-expected,Very Likely To Play,Keldon Johnson,K. Johnson,PF,2021-03-22 09:21:10.189752
SA,is-home,CHASA,is-expected,Very Likely To Play,Jakob Poeltl,Jakob Poeltl,C,2021-03-22 09:21:10.189752
SA,is-home,CHASA,,Very Unlikely To Play,LaMarcus Aldridge,L. Aldridge,C,2021-03-22 09:21:10.189752
SA,is-home,CHASA,,Very Unlikely To Play,Keita Bates-Diop,K. Bates-Diop,F,2021-03-22 09:21:10.189752
UTA,is-visit,UTACHI,is-expected,Very Likely To Play,Mike Conley,Mike Conley,PG,2021-03-22 09:21:10.189752
UTA,is-visit,UTACHI,is-expected,Very Likely To Play,Donovan Mitchell,D. Mitchell,SG,2021-03-22 09:21:10.189752
UTA,is-visit,UTACHI,is-expected,Very Likely To Play,Bojan Bogdanovic,B. Bogdanovic,SF,2021-03-22 09:21:10.189752
UTA,is-visit,UTACHI,is-expected,Very Likely To Play,Royce O'Neale,Royce O'Neale,PF,2021-03-22 09:21:10.189752
UTA,is-visit,UTACHI,is-expected,Toss Up To Play,Rudy Gobert,R. Gobert,C,2021-03-22 09:21:10.189752
UTA,is-visit,UTACHI,,Toss Up To Play,Rudy Gobert,R. Gobert,C,2021-03-22 09:21:10.189752
UTA,is-visit,UTACHI,,Very Unlikely To Play,Udoka Azubuike,U. Azubuike,C,2021-03-22 09:21:10.189752
CHI,is-home,UTACHI,is-expected,Very Likely To Play,Tomas Satoransky,T. Satoransky,PG,2021-03-22 09:21:10.189752
CHI,is-home,UTACHI,is-expected,Very Likely To Play,Zach LaVine,Zach LaVine,SG,2021-03-22 09:21:10.189752
CHI,is-home,UTACHI,is-expected,Very Likely To Play,Patrick Williams,P. Williams,SF,2021-03-22 09:21:10.189752
CHI,is-home,UTACHI,is-expected,Very Likely To Play,Lauri Markkanen,L. Markkanen,PF,2021-03-22 09:21:10.189752
CHI,is-home,UTACHI,is-expected,Very Likely To Play,Thaddeus Young,T. Young,C,2021-03-22 09:21:10.189752
CHI,is-home,UTACHI,,Very Likely To Play,Garrett Temple,G. Temple,G,2021-03-22 09:21:10.189752
TOR,is-visit,TORHOU,is-expected,Very Likely To Play,Kyle Lowry,Kyle Lowry,PG,2021-03-22 09:21:10.189752
TOR,is-visit,TORHOU,is-expected,Very Likely To Play,Fred VanVleet,Fred VanVleet,SG,2021-03-22 09:21:10.189752
TOR,is-visit,TORHOU,is-expected,Very Likely To Play,Norman Powell,Norman Powell,SF,2021-03-22 09:21:10.189752
TOR,is-visit,TORHOU,is-expected,Very Likely To Play,OG Anunoby,OG Anunoby,PF,2021-03-22 09:21:10.189752
TOR,is-visit,TORHOU,is-expected,Very Likely To Play,Pascal Siakam,Pascal Siakam,C,2021-03-22 09:21:10.189752
HOU,is-home,TORHOU,is-expected,Toss Up To Play,John Wall,John Wall,PG,2021-03-22 09:21:10.189752
HOU,is-home,TORHOU,is-expected,Toss Up To Play,Victor Oladipo,V. Oladipo,SG,2021-03-22 09:21:10.189752
HOU,is-home,TORHOU,is-expected,Very Likely To Play,Danuel House,Danuel House,SF,2021-03-22 09:21:10.189752
HOU,is-home,TORHOU,is-expected,Very Likely To Play,Jae'Sean Tate,Jae'Sean Tate,PF,2021-03-22 09:21:10.189752
HOU,is-home,TORHOU,is-expected,Very Likely To Play,Christian Wood,C. Wood,C,2021-03-22 09:21:10.189752
HOU,is-home,TORHOU,,Very Likely To Play,D.J. Augustin,D. Augustin,G,2021-03-22 09:21:10.189752
HOU,is-home,TORHOU,,Very Unlikely To Play,Dante Exum,Dante Exum,G,2021-03-22 09:21:10.189752
HOU,is-home,TORHOU,,Very Unlikely To Play,Eric Gordon,E. Gordon,G,2021-03-22 09:21:10.189752
HOU,is-home,TORHOU,,Very Unlikely To Play,David Nwaba,D. Nwaba,F,2021-03-22 09:21:10.189752
IND,is-visit,INDMIL,is-expected,Very Likely To Play,Malcolm Brogdon,M. Brogdon,PG,2021-03-22 09:21:10.189752
IND,is-visit,INDMIL,is-expected,Very Likely To Play,Caris LeVert,Caris LeVert,SG,2021-03-22 09:21:10.189752
