TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,LINEUP_DESC,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION,CREATE_DTTM
POR,is-visit,PORMIA,is-expected,Very Likely To Play,Damian Lillard,D. Lillard,PG,2021-03-25 08:48:19.864099
POR,is-visit,PORMIA,is-expected,Very Likely To Play,CJ McCollum,CJ McCollum,SG,2021-03-25 08:48:19.864099
POR,is-visit,PORMIA,is-expected,Very Likely To Play,Derrick Jones,Derrick Jones,SF,2021-03-25 08:48:19.864099
POR,is-visit,PORMIA,is-expected,Very Likely To Play,Robert Covington,R. Covington,PF,2021-03-25 08:48:19.864099
POR,is-visit,PORMIA,is-expected,Very Likely To Play,Enes Kanter,Enes Kanter,C,2021-03-25 08:48:19.864099
POR,is-visit,PORMIA,,Toss Up To Play,Nassir Little,N. Little,F,2021-03-25 08:48:19.864099
POR,is-visit,PORMIA,,Toss Up To Play,Anfernee Simons,A. Simons,G,2021-03-25 08:48:19.864099
POR,is-visit,PORMIA,,Very Unlikely To Play,Zach Collins,Z. Collins,C,2021-03-25 08:48:19.864099
POR,is-visit,PORMIA,,Very Unlikely To Play,Jusuf Nurkic,J. Nurkic,C,2021-03-25 08:48:19.864099
MIA,is-home,PORMIA,is-expected,Very Likely To Play,Kendrick Nunn,Kendrick Nunn,PG,2021-03-25 08:48:19.864099
MIA,is-home,PORMIA,is-expected,Very Likely To Play,Duncan Robinson,D. Robinson,SG,2021-03-25 08:48:19.864099
MIA,is-home,PORMIA,is-expected,Very Likely To Play,Jimmy Butler,Jimmy Butler,SF,2021-03-25 08:48:19.864099
MIA,is-home,PORMIA,is-expected,Very Likely To Play,Kelly Olynyk,Kelly Olynyk,PF,2021-03-25 08:48:19.864099
MIA,is-home,PORMIA,is-expected,Very Likely To Play,Bam Adebayo,Bam Adebayo,C,2021-03-25 08:48:19.864099
MIA,is-home,PORMIA,,Toss Up To Play,Avery Bradley,A. Bradley,G,2021-03-25 08:48:19.864099
MIA,is-home,PORMIA,,Toss Up To Play,Goran Dragic,G. Dragic,G,2021-03-25 08:48:19.864099
MIA,is-home,PORMIA,,Very Unlikely To Play,Udonis Haslem,U. Haslem,C,2021-03-25 08:48:19.864099
MIA,is-home,PORMIA,,Very Unlikely To Play,KZ Okpala,KZ Okpala,F,2021-03-25 08:48:19.864099
WAS,is-visit,WASNY,is-expected,Very Likely To Play,Russell Westbrook,R. Westbrook,PG,2021-03-25 08:48:19.864099
WAS,is-visit,WASNY,is-expected,Very Likely To Play,Bradley Beal,Bradley Beal,SG,2021-03-25 08:48:19.864099
WAS,is-visit,WASNY,is-expected,Very Likely To Play,Garrison Mathews,G. Mathews,SF,2021-03-25 08:48:19.864099
WAS,is-visit,WASNY,is-expected,Very Likely To Play,Rui Hachimura,Rui Hachimura,PF,2021-03-25 08:48:19.864099
WAS,is-visit,WASNY,is-expected,Very Likely To Play,Alex Len,Alex Len,C,2021-03-25 08:48:19.864099
WAS,is-visit,WASNY,,Very Unlikely To Play,Davis Bertans,D. Bertans,F,2021-03-25 08:48:19.864099
WAS,is-visit,WASNY,,Very Unlikely To Play,Ish Smith,Ish Smith,G,2021-03-25 08:48:19.864099
NY,is-home,WASNY,is-expected,Very Likely To Play,Elfrid Payton,Elfrid Payton,PG,2021-03-25 08:48:19.864099
NY,is-home,WASNY,is-expected,Very Likely To Play,Reggie Bullock,R. Bullock,SG,2021-03-25 08:48:19.864099
NY,is-home,WASNY,is-expected,Very Likely To Play,RJ Barrett,RJ Barrett,SF,2021-03-25 08:48:19.864099
NY,is-home,WASNY,is-expected,Very Likely To Play,Julius Randle,Julius Randle,PF,2021-03-25 08:48:19.864099
NY,is-home,WASNY,is-expected,Very Likely To Play,Nerlens Noel,Nerlens Noel,C,2021-03-25 08:48:19.864099
NY,is-home,WASNY,,Toss Up To Play,Derrick Rose,D. Rose,G,2021-03-25 08:48:19.864099
NY,is-home,WASNY,,Very Unlikely To Play,Austin Rivers,A. Rivers,G,2021-03-25 08:48:19.864099
LAC,is-visit,LACSA,is-expected,Very Likely To Play,Reggie Jackson,R. Jackson,PG,2021-03-25 08:48:19.864099
LAC,is-visit,LACSA,is-expected,Very Likely To Play,Paul George,Paul George,SG,2021-03-25 08:48:19.864099
LAC,is-visit,LACSA,is-expected,Very Likely To Play,Kawhi Leonard,Kawhi Leonard,SF,2021-03-25 08:48:19.864099
LAC,is-visit,LACSA,is-expected,Very Likely To Play,Marcus Morris,Marcus Morris,PF,2021-03-25 08:48:19.864099
LAC,is-visit,LACSA,is-expected,Very Likely To Play,Ivica Zubac,Ivica Zubac,C,2021-03-25 08:48:19.864099
LAC,is-visit,LACSA,,Very Unlikely To Play,Patrick Beverley,P. Beverley,G,2021-03-25 08:48:19.864099
LAC,is-visit,LACSA,,Very Unlikely To Play,Serge Ibaka,S. Ibaka,C,2021-03-25 08:48:19.864099
LAC,is-visit,LACSA,,Very Unlikely To Play,Jay Scrubb,Jay Scrubb,G,2021-03-25 08:48:19.864099
SA,is-home,LACSA,is-expected,Very Likely To Play,Dejounte Murray,D. Murray,PG,2021-03-25 08:48:19.864099
SA,is-home,LACSA,is-expected,Very Likely To Play,Derrick White,Derrick White,SG,2021-03-25 08:48:19.864099
SA,is-home,LACSA,is-expected,Very Likely To Play,DeMar DeRozan,DeMar DeRozan,SF,2021-03-25 08:48:19.864099
SA,is-home,LACSA,is-expected,Very Likely To Play,Keldon Johnson,K. Johnson,PF,2021-03-25 08:48:19.864099
SA,is-home,LACSA,is-expected,Very Likely To Play,Jakob Poeltl,Jakob Poeltl,C,2021-03-25 08:48:19.864099
