SBR_team,NBA_team_name,NBA_team_abbrev,team_id
Atlanta,Atlanta Hawks,ATL,1610612737
Brooklyn,Brooklyn Nets,BKN,1610612751
Boston,Boston Celtics,BOS,1610612738
Charlotte,Charlotte Hornets,CHA,1610612766
Chicago,Chicago Bulls,CHI,1610612741
Cleveland,Cleveland Cavaliers,CLE,1610612739
Dallas,Dallas Mavericks,DAL,1610612742
Denver,Denver Nuggets,DEN,1610612743
Detroit,Detroit Pistons,DET,1610612765
Golden State,Golden State Warriors,GSW,1610612744
Houston,Houston Rockets,HOU,1610612745
Indiana,Indiana Pacers,IND,1610612754
L.A. Clippers,LA Clippers,LAC,1610612746
L.A. Lakers,Los Angeles Lakers,LAL,1610612747
Memphis,Memphis Grizzlies,MEM,1610612763
Miami,Miami Heat,MIA,1610612748
Milwaukee,Milwaukee Bucks,MIL,1610612749
Minnesota,Minnesota Timberwolves,MIN,1610612750
New Orleans,New Orleans Pelicans,NOP,1610612740
New York,New York Knicks,NYK,1610612752
Oklahoma City,Oklahoma City Thunder,OKC,1610612760
Orlando,Orlando Magic,ORL,1610612753
Philadelphia,Philadelphia 76ers,PHI,1610612755
Phoenix,Phoenix Suns,PHX,1610612756
Portland,Portland Trail Blazers,POR,1610612757
Sacramento,Sacramento Kings,SAC,1610612758
San Antonio,San Antonio Spurs,SAS,1610612759
Utah,Utah Jazz,UTA,1610612762
Washington,Washington Wizards,WAS,1610612764
NA,Perth Wildcats,NA,104
NA,Barcelona FC Barcelona Lassa,NA,12304
NA,Madrid Real Madrid,NA,12315
NA,Istanbul Fenerbahce Sports Club,NA,12321
NA,Flamengo Flamengo,NA,12325
NA,Bauru Paschoalotto/Bauru,NA,12328
NA,Shanghai Shanghai Sharks,NA,12329
NA,Shanghai Sharks,NA,12329
NA,Buenos Aires San Lorenzo,NA,12330
NA,SESI/Franca Basketball Club of Brazil,NA,12332
NA,Sydney Kings,NA,15015
NA,Melbourne United,NA,15016
NA,Brisbane Bullets,NA,15017
NA,Guangzhou Long-Lions,NA,15018
NA,Adelaide 36ers,NA,15019
NA,New Zealand Breakers,NA,15020
NA,Beijing Ducks,NA,15021
Toronto,Toronto Raptors,TOR,1610612761
NA,Haifa Maccabi Haifa,NA,93
NA,Milano Olimpia Milano,NA,94
