Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open,home_open,pinnacle1,pinnacle2,fiveDimes1,fiveDimes2,bookmaker1,bookmaker2,BOL1,BOL2,Bovada1,Bovada2,Heritage1,Heritage2,Intertops1,Intertops2,youwager1,youwager2,justbet1,justbet2,sportsbet1,sportsbet2,oddsURL
20150306,NBA,moneyline,full,Toronto,Charlotte,24,18,29,23,25,28,24,26,94,103,-125,+105,+105,-116,+110,-120,+105,-125,+104,-124,,,+100,-120,+105,-125,+100,-120,+110,-130,+104,-124,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20150306
20150306,NBA,moneyline,full,Sacramento,Orlando,26,31,29,28,35,33,24,27,114,119,-115,-105,-150,+136,-150,+140,-150,+130,-155,+135,-160,+140,-155,+135,-155,+135,-160,+140,-150,+130,-155,+135,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20150306
20150306,NBA,moneyline,full,Chicago,Indiana,20,22,24,18,23,22,21,32,84,98,+200,-240,+219,-246,+200,-220,+220,-265,+200,-240,+185,-225,+205,-245,+190,-230,+190,-230,+195,-235,+200,-240,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20150306
20150306,NBA,moneyline,full,Utah,Philadelphia,21,20,23,25,24,18,13,28,89,83,-295,+245,-300,+264,-305,+275,-325,+265,-315,+265,-350,+275,-325,+265,-330,+270,-335,+275,-325,+265,-315,+265,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20150306
20150306,NBA,moneyline,full,Cleveland,Atlanta,19,24,36,18,36,17,28,25,97,106,-125,+105,-116,+105,-117,+107,-127,+107,-125,+105,,,-125,+105,-120,+100,-130,+110,-127,+107,-125,+105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20150306
20150306,NBA,moneyline,full,Phoenix,Brooklyn,21,29,19,23,16,21,25,34,108,100,+120,-140,+120,-133,+125,-135,+110,-130,+120,-140,,,+115,-135,+110,-130,+125,-145,+110,-130,+120,-140,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20150306
20150306,NBA,moneyline,full,Detroit,Houston,23,23,23,24,29,25,26,23,93,103,+250,-305,+285,-325,+285,-315,+290,-350,+275,-330,+280,-360,+275,-335,+270,-330,+270,-330,+290,-350,+275,-330,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20150306
20150306,NBA,moneyline,full,Boston,New Orleans,27,20,24,33,25,22,21,30,104,98,+250,-305,+256,-290,+260,-290,+250,-305,+250,-300,+250,-300,+245,-305,+250,-300,+240,-300,+250,-305,+250,-300,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20150306
20150306,NBA,moneyline,full,L.A. Lakers,Memphis,16,30,25,19,24,19,24,30,90,97,+600,-900,+546,-667,+635,-800,+525,-700,+575,-750,,,+560,-735,+550,-800,+550,-750,+575,-800,+575,-750,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20150306
20150306,NBA,moneyline,full,Denver,San Antonio,29,31,23,28,32,33,25,30,111,120,+700,-1000,+624,-780,+595,-740,+575,-800,+600,-800,,,+575,-750,+525,-750,+550,-750,+575,-800,+600,-800,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20150306
20150306,NBA,moneyline,full,Dallas,Golden State,24,16,24,25,29,23,30,22,89,104,+525,-700,+625,-781,+600,-750,+600,-900,+600,-800,,,+570,-745,+550,-800,+600,-800,+600,-900,+600,-800,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20150306
