Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open,home_open,pinnacle1,pinnacle2,fiveDimes1,fiveDimes2,bookmaker1,bookmaker2,BOL1,BOL2,Bovada1,Bovada2,Heritage1,Heritage2,Intertops1,Intertops2,youwager1,youwager2,justbet1,justbet2,sportsbet1,sportsbet2,oddsURL
20150327,NBA,total,full,Charlotte,Washington,19,35,25,17,5,6,28,31,107,110,189 -110,189 -110,188 -108,188 -102,188 -110,188 -110,188 -110,188 -110,188 -110,188 -110,188 -115,188 -105,188 -108,188 -108,188½ -110,188½ -110,188½ -110,188½ -110,188 -110,188 -110,188 -110,188 -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
20150327,NBA,total,full,L.A. Clippers,Philadelphia,34,28,32,25,19,35,14,30,119,98,203½ -110,203½ -110,202 -103,202 -107,202 -110,202 -110,201½ -110,201½ -110,201 -115,201 -105,201 -115,201 -105,202 -108,202 -108,201½ -110,201½ -110,201 -110,201 -110,201½ -110,201½ -110,201 -115,201 -105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
20150327,NBA,total,full,Detroit,Orlando,30,24,33,24,27,26,23,21,111,97,197 -110,197 -110,197½ -105,197½ -105,197½ -110,197½ -110,198 -110,198 -110,198 -120,198 +100,198 -110,198 -110,198 -108,198 -108,197½ -110,197½ -110,197½ -110,197½ -110,198 -110,198 -110,198 -120,198 +100,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
20150327,NBA,total,full,L.A. Lakers,Toronto,24,24,18,17,17,29,25,23,83,94,202 -110,202 -110,203½ -107,203½ -103,204 -110,204 -110,204 -110,204 -110,204 -110,204 -110,204 -110,204 -110,204 -108,204 -108,204 -110,204 -110,203½ -110,203½ -110,204 -110,204 -110,204 -110,204 -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
20150327,NBA,total,full,Boston,New York,21,26,23,26,22,17,24,29,96,92,195 -110,195 -110,194 -102,194 -108,194 -105,194 -105,194 -110,194 -110,194 -110,194 -110,194 -110,194 -110,193½ -108,193½ -108,194 -110,194 -110,194 -110,194 -110,194 -110,194 -110,194 -110,194 -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
20150327,NBA,total,full,Miami,Atlanta,20,17,30,19,27,28,34,10,86,99,198 -110,198 -110,195½ -103,195½ -107,195½ -110,195½ -110,195½ -110,195½ -110,194½ -110,194½ -110,195 -115,195 -105,195 -108,195 -108,195½ -110,195½ -110,195 -110,195 -110,195½ -110,195½ -110,194½ -110,194½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
20150327,NBA,total,full,Cleveland,Brooklyn,27,29,23,19,29,28,22,27,98,106,207½ -110,207½ -110,208 +100,208 -110,207½ -110,207½ -110,207 -110,207 -110,207½ -110,207½ -110,207 -110,207 -110,207½ -108,207½ -108,207½ -110,207½ -110,207½ -110,207½ -110,207 -110,207 -110,207½ -110,207½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
20150327,NBA,total,full,Golden State,Memphis,31,23,31,22,24,25,16,19,107,84,198½ -110,198½ -110,198½ -109,198½ -101,198½ -102,198½ -108,198½ -110,198½ -110,198½ -110,198½ -110,199 -105,199 -115,198 -108,198 -108,198½ -110,198½ -110,198½ -110,198½ -110,198½ -110,198½ -110,198½ -110,198½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
20150327,NBA,total,full,Sacramento,New Orleans,20,22,24,22,18,28,28,28,88,102,206½ -110,206½ -110,205½ -103,205½ -107,205½ -105,205½ -105,205½ -110,205½ -110,206 -110,206 -110,206 -110,206 -110,206 -108,206 -108,205½ -110,205½ -110,206 -110,206 -110,205½ -110,205½ -110,206 -110,206 -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
20150327,NBA,total,full,Minnesota,Houston,22,28,30,30,31,29,30,30,110,120,204 -110,204 -110,205½ -106,205½ -104,205½ -107,205½ -103,205½ -110,205½ -110,205½ -110,205½ -110,206 -110,206 -110,205½ -108,205½ -108,205½ -110,205½ -110,206 -110,206 -110,205½ -110,205½ -110,205½ -110,205½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
20150327,NBA,total,full,Dallas,San Antonio,18,23,20,15,28,26,15,25,76,94,206½ -110,206½ -110,205½ -107,205½ -103,205½ -108,205½ -102,206 -110,206 -110,206 -115,206 -105,206 -110,206 -110,206 -108,206 -108,205½ -110,205½ -110,206 -110,206 -110,206 -110,206 -110,206 -115,206 -105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
20150327,NBA,total,full,Utah,Denver,20,19,24,28,22,30,23,32,91,107,189½ -110,189½ -110,189 -113,189 +102,189 -103,189 -107,189 -110,189 -110,189 -115,189 -105,189 -110,189 -110,189½ -108,189½ -108,189 -110,189 -110,189 -110,189 -110,189 -110,189 -110,189 -115,189 -105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
20150327,NBA,total,full,Portland,Phoenix,29,18,13,27,21,26,19,15,87,81,203 -110,203 -110,201 -105,201 -105,201½ -110,201½ -110,201½ -110,201½ -110,201½ -110,201½ -110,202 -110,202 -110,201½ -108,201½ -108,201½ -110,201½ -110,202 -110,202 -110,201½ -110,201½ -110,201½ -110,201½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150327
