game_id,Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open_line,away_open_odds,home_open_line,home_open_odds,away_pinnacle_line,away_pinnacle_odds,home_pinnacle_line,home_pinnacle_odds,away_fiveDimes_line,away_fiveDimes_odds,home_fiveDimes_line,home_fiveDimes_odds,away_bookmaker_line,away_bookmaker_odds,home_bookmaker_line,home_bookmaker_odds,away_BOL_line,away_BOL_odds,home_BOL_line,home_BOL_odds,away_Bovada_line,away_Bovada_odds,home_Bovada_line,home_Bovada_odds,away_Heritage_line,away_Heritage_odds,home_Heritage_line,home_Heritage_odds,away_Intertops_line,away_Intertops_odds,home_Intertops_line,home_Intertops_odds,away_youwager_line,away_youwager_odds,home_youwager_line,home_youwager_odds,away_justbet_line,away_justbet_odds,home_justbet_line,home_justbet_odds,away_sportsbet_line,away_sportsbet_odds,home_sportsbet_line,home_sportsbet_odds,oddsURL
20151113_NBA_Indiana_MIN,20151113,NBA,total,full,Minnesota,Indiana,27,23,23,30,24,37,29,17,103,107,197.5,-110,197.5,-110,200,-109,200,-101,200,-110,200,-110,200,-110,200,-110,200,-110,200,-110,200,-110,200,-110,200,-105,200,-105,200,-110,200,-110,200,-110,200,-110,200,-110,200,-110,200,-110,200,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20151113
20151113_NBA_Orlando_Utah,20151113,NBA,total,full,Utah,Orlando,15,25,23,30,33,19,28,22,93,102,186,-110,186,-110,189,-111,189,101,189.5,-110,189.5,-110,189.5,-110,189.5,-110,189,-115,189,-105,188,-110,188,-110,189.5,-105,189.5,-105,188.5,-110,188.5,-110,188.5,-110,188.5,-110,189.5,-110,189.5,-110,189,-115,189,-105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20151113
20151113_NBA_Toronto_NO,20151113,NBA,total,full,New Orleans,Toronto,21,19,21,20,17,23,32,28,81,100,206.5,-110,206.5,-110,205,-110,205,100,205.5,-110,205.5,-110,205,-110,205,-110,205,-110,205,-110,205,-110,205,-110,205.5,-105,205.5,-105,205,-110,205,-110,205,-110,205,-110,205,-110,205,-110,205,-110,205,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20151113
20151113_NBA_New York_CLE,20151113,NBA,total,full,Cleveland,New York,29,17,20,24,23,30,19,12,90,84,201,-110,201,-110,203.5,-105,203.5,-105,203.5,-110,203.5,-110,203.5,-110,203.5,-110,203.5,-110,203.5,-110,204,-105,204,-115,203.5,-105,203.5,-105,203.5,-110,203.5,-110,203.5,-110,203.5,-110,203.5,-110,203.5,-110,203.5,-110,203.5,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20151113
20151113_NBA_Boston_ATL,20151113,NBA,total,full,Atlanta,Boston,26,19,24,24,23,22,35,26,93,106,207.5,-110,207.5,-110,206.5,-104,206.5,-106,206.5,-110,206.5,-110,206.5,-110,206.5,-110,206.5,-110,206.5,-110,207,-110,207,-110,207,-105,207,-105,206.5,-110,206.5,-110,206.5,-110,206.5,-110,206.5,-110,206.5,-110,206.5,-110,206.5,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20151113
20151113_NBA_CHI_Charlotte,20151113,NBA,total,full,Charlotte,Chicago,23,23,29,22,23,27,23,29,97,102,198,-110,198,-110,199,-109,199,-101,200,-105,200,-105,199.5,-110,199.5,-110,200,-110,200,-110,200,-110,200,-110,199.5,-105,199.5,-105,199,-110,199,-110,200,-110,200,-110,199.5,-110,199.5,-110,200,-110,200,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20151113
20151113_NBA_Oklahoma City_PHI,20151113,NBA,total,full,Philadelphia,Oklahoma City,24,19,18,24,18,30,23,31,85,102,207,-110,207,-110,206.5,-108,206.5,-102,206.5,-105,206.5,-105,207,-110,207,-110,206.5,-110,206.5,-110,207,-110,207,-110,207,-105,207,-105,206.5,-110,206.5,-110,206.5,-110,206.5,-110,207,-110,207,-110,206.5,-110,206.5,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20151113
20151113_NBA_Memphis_Portland,20151113,NBA,total,full,Portland,Memphis,24,28,18,30,23,30,26,22,100,101,198,-110,198,-110,193.5,-109,193.5,-101,193,-105,193,-105,193.5,-110,193.5,-110,193.5,-110,193.5,-110,194,-110,194,-110,193,-105,193,-105,193.5,-110,193.5,-110,193.5,-110,193.5,-110,193.5,-110,193.5,-110,193.5,-110,193.5,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20151113
20151113_NBA_DAL_L.A. Lakers,20151113,NBA,total,full,L.A. Lakers,Dallas,24,16,15,27,29,19,16,26,82,90,210,-110,210,-110,210,-104,210,-106,210,-108,210,-102,210.5,-110,210.5,-110,210.5,-110,210.5,-110,211,-105,211,-115,210,-105,210,-105,210.5,-110,210.5,-110,210.5,-110,210.5,-110,210.5,-110,210.5,-110,210.5,-110,210.5,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20151113
20151113_NBA__,20151113,NBA,total,full,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.5,-110,208.5,-110,211,-105,211,-105,210.5,-102,210.5,-108,210.5,-110,210.5,-110,210.5,-110,210.5,-110,210,-110,210,-110,210,-105,210,-105,210.5,-110,210.5,-110,210.5,-110,210.5,-110,210.5,-110,210.5,-110,210.5,-110,210.5,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20151113
