Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open,home_open,pinnacle1,pinnacle2,fiveDimes1,fiveDimes2,bookmaker1,bookmaker2,BOL1,BOL2,Bovada1,Bovada2,Heritage1,Heritage2,Intertops1,Intertops2,youwager1,youwager2,justbet1,justbet2,sportsbet1,sportsbet2,oddsURL
20160408,NBA,spread,full,Miami,Orlando,27,28,25,29,19,34,26,33,109,112,-1 -110,+1 -110,-1 -110,+1 +100,-1 -110,+1 -110,-1½ -110,+1½ -110,-1½ -110,+1½ -110,-1½ -115,+1½ -105,-1½ -105,+1½ -105,-1½ -110,+1½ -110,-1 -110,+1 -110,-1½ -110,+1½ -110,-1½ -110,+1½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160408
20160408,NBA,spread,full,Brooklyn,Charlotte,25,18,21,35,25,25,34,29,99,113,,,+14 -109,-14 -101,+14 -110,-14 -110,+14 -115,-14 -105,+14½ -115,-14½ -105,+14 -105,-14 -115,+14 -105,-14 -105,+14 -110,-14 -110,+14 -110,-14 -110,+14 -115,-14 -105,+14½ -115,-14½ -105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160408
20160408,NBA,spread,full,New York,Philadelphia,28,21,33,27,24,22,28,28,109,102,-3 -110,+3 -110,-2½ -114,+2½ +103,-3 -110,+3 -110,-2½ -115,+2½ -105,-2½ -115,+2½ -105,-2½ -115,+2½ -105,-3 -105,+3 -105,-2½ -110,+2½ -110,-2½ -110,+2½ -110,-2½ -115,+2½ -105,-2½ -115,+2½ -105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160408
20160408,NBA,spread,full,Washington,Detroit,25,30,29,15,39,23,24,26,99,112,+7 -110,-7 -110,+6 -113,-6 +102,+6 -110,-6 -110,+6 -110,-6 -110,+6 -110,-6 -110,+6 -105,-6 -115,+5½ -105,-5½ -105,+6 -110,-6 -110,+6 -110,-6 -110,+6 -110,-6 -110,+6 -110,-6 -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160408
20160408,NBA,spread,full,Indiana,Toronto,15,31,20,32,20,30,32,29,98,111,-2 -110,+2 -110,-5 +104,+5 -115,-5 -110,+5 -110,-4½ -110,+4½ -110,-5 -110,+5 -110,-5½ -110,+5½ -110,-4½ -105,+4½ -105,-5 -110,+5 -110,-5 -110,+5 -110,-4½ -110,+4½ -110,-5 -110,+5 -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160408
20160408,NBA,spread,full,Milwaukee,Boston,35,23,22,29,30,35,36,23,109,124,+9½ -110,-9½ -110,+11 -102,-11 -108,+11 -110,-11 -110,+11½ -110,-11½ -110,+11 -105,-11 -115,+11 -110,-11 -110,+11½ -105,-11½ -105,+11 -110,-11 -110,+11 -110,-11 -110,+11½ -110,-11½ -110,+11 -105,-11 -115,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160408
20160408,NBA,spread,full,L.A. Lakers,New Orleans,27,19,21,35,24,33,30,23,102,110,+2½ -115,-2½ -105,+3½ +100,-3½ -110,+3½ -102,-3½ -108,+3½ -110,-3½ -110,+3½ -110,-3½ -110,+3½ -105,-3½ -115,+3½ -105,-3½ -105,+3½ -110,-3½ -110,+3½ -110,-3½ -110,+3½ -110,-3½ -110,+3½ -110,-3½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160408
20160408,NBA,spread,full,Memphis,Dallas,21,28,19,25,18,28,28,29,93,103,+6½ -110,-6½ -110,+6½ +100,-6½ -110,+6½ -110,-6½ -110,+6½ -110,-6½ -110,+6½ -105,-6½ -115,+7 -115,-7 -105,+7 -105,-7 -105,+6½ -110,-6½ -110,+6½ -110,-6½ -110,+6½ -110,-6½ -110,+6½ -105,-6½ -115,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160408
20160408,NBA,spread,full,L.A. Clippers,Utah,25,22,29,18,8,26,26,20,102,99,+12 -110,-12 -110,+14 -112,-14 +102,+13½ -110,-13½ -110,+13½ -105,-13½ -115,+13½ -110,-13½ -110,+13½ -110,-13½ -110,+13½ -105,-13½ -105,+13½ -110,-13½ -110,+13½ -110,-13½ -110,+13½ -105,-13½ -115,+13½ -110,-13½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160408
20160408,NBA,spread,full,San Antonio,Denver,18,35,19,26,24,27,26,25,98,102,+2 -110,-2 -110,+1 -110,-1 +100,+1 -110,-1 -110,+1 -110,-1 -110,+1 -110,-1 -110,+1 -110,-1 -110,+1 -110,-1 +100,+1 -110,-1 -110,+1 -110,-1 -110,+1 -110,-1 -110,+1 -110,-1 -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160408
