game_id,Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open_line,away_open_odds,home_open_line,home_open_odds,away_pinnacle_line,away_pinnacle_odds,home_pinnacle_line,home_pinnacle_odds,away_fiveDimes_line,away_fiveDimes_odds,home_fiveDimes_line,home_fiveDimes_odds,away_bookmaker_line,away_bookmaker_odds,home_bookmaker_line,home_bookmaker_odds,away_BOL_line,away_BOL_odds,home_BOL_line,home_BOL_odds,away_Bovada_line,away_Bovada_odds,home_Bovada_line,home_Bovada_odds,away_Heritage_line,away_Heritage_odds,home_Heritage_line,home_Heritage_odds,away_Intertops_line,away_Intertops_odds,home_Intertops_line,home_Intertops_odds,away_youwager_line,away_youwager_odds,home_youwager_line,home_youwager_odds,away_justbet_line,away_justbet_odds,home_justbet_line,home_justbet_odds,away_sportsbet_line,away_sportsbet_odds,home_sportsbet_line,home_sportsbet_odds,oddsURL
20161216_NBA_Orlando_Brooklyn,20161216,NBA,spread,full,Brooklyn,Orlando,28,24,30,29,25,28,30,35,111,118,6.5,-110,-6.5,-110,7,-105,-7,-105,7,-110,-7,-110,6.5,-105,-6.5,-115,7,-110,-7,-110,7,-110,-7,-110,7,-105,-7,-105,7,-115,-7,-105,7,-110,-7,-110,6.5,-105,-6.5,-115,7,-110,-7,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20161216
20161216_NBA_WAS_DET,20161216,NBA,spread,full,Detroit,Washington,27,27,23,31,27,38,30,27,108,122,0,-110,0,-110,-1.5,-104,1.5,-106,-1.5,-110,1.5,-110,-1.5,-105,1.5,-115,-1.5,-110,1.5,-110,-1.5,-105,1.5,-115,-1.5,-105,1.5,-105,-1.5,-105,1.5,-115,-1.5,-110,1.5,-110,-1.5,-105,1.5,-115,NA,NA,NA,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20161216
20161216_NBA_Boston_Charlotte,20161216,NBA,spread,full,Charlotte,Boston,22,28,19,19,23,18,28,27,88,96,7.5,-110,-7.5,-110,6,-102,-6,-108,6,-110,-6,-110,6,-110,-6,-110,6,-110,-6,-110,6.5,-110,-6.5,-110,6,-105,-6,-105,6.5,-110,-6.5,-110,6.5,-110,-6.5,-110,6,-110,-6,-110,6,-110,-6,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20161216
20161216_NBA_Toronto_ATL,20161216,NBA,spread,full,Atlanta,Toronto,35,34,26,30,27,25,30,39,125,121,7,-110,-7,-110,6.5,-104,-6.5,-106,6.5,-110,-6.5,-110,6.5,-110,-6.5,-110,6.5,-115,-6.5,-105,7.5,-115,-7.5,-105,7,-105,-7,-105,6.5,-110,-6.5,-110,6.5,-110,-6.5,-110,6.5,-110,-6.5,-110,6.5,-115,-6.5,-105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20161216
20161216_NBA_CHI_Milwaukee,20161216,NBA,spread,full,Milwaukee,Chicago,34,22,18,21,15,22,15,17,95,69,4.5,-110,-4.5,-110,5.5,-105,-5.5,-105,6,-118,-6,-102,5.5,-105,-5.5,-115,5.5,-105,-5.5,-115,NA,NA,NA,NA,5.5,-105,-5.5,-105,5.5,-115,-5.5,-105,5.5,-110,-5.5,-110,5.5,-105,-5.5,-115,5.5,-105,-5.5,-115,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20161216
20161216_NBA_MIA_L.A. Clippers,20161216,NBA,spread,full,L.A. Clippers,Miami,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.5,-110,6.5,-110,-7.5,-107,7.5,-103,-7.5,-110,7.5,-110,-8,-106,8,-113,-8,-105,8,-115,-8,-110,8,-110,-7.5,-105,7.5,-105,-7.5,-115,7.5,-105,-7.5,-110,7.5,-110,-8,-106,8,-113,-8,-105,8,-115,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20161216
20161216_NBA_HOU_NO,20161216,NBA,spread,full,New Orleans,Houston,24,26,29,21,35,37,25,25,100,122,10.5,-110,-10.5,-110,12,-102,-12,-108,12,-110,-12,-110,12,-110,-12,-110,11.5,-105,-11.5,-115,12.5,-115,-12.5,-105,12,-105,-12,-105,12,-110,-12,-110,12,-110,-12,-110,12,-110,-12,-110,11.5,-105,-11.5,-115,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20161216
20161216_NBA_Memphis_Sacramento,20161216,NBA,spread,full,Sacramento,Memphis,24,28,24,20,19,23,23,27,96,92,4.5,-105,-4.5,-115,5,-110,-5,-100,5,-105,-5,-105,5,-110,-5,-110,4.5,-110,-4.5,-110,5.5,-110,-5.5,-110,5,-105,-5,-105,5,-110,-5,-110,5,-110,-5,-110,5,-110,-5,-110,4.5,-110,-4.5,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20161216
20161216_NBA_PHI_L.A. Lakers,20161216,NBA,spread,full,L.A. Lakers,Philadelphia,30,23,21,26,18,22,24,25,100,89,1,-110,-1,-110,1,-105,-1,-105,1,-110,-1,-110,NA,NA,NA,NA,1,-113,-1,-107,0,-110,0,-110,0,-105,0,-105,1,-110,-1,-110,1,-110,-1,-110,1.5,-115,-1.5,-105,1,-113,-1,-107,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20161216
20161216_NBA_Utah_DAL,20161216,NBA,spread,full,Dallas,Utah,29,29,19,23,33,31,26,13,100,103,11,-110,-11,-110,10.5,-103,-10.5,-107,11,-110,-11,-110,11,-105,-11,-115,11,-103,-11,-117,12,-115,-12,-105,11.5,-105,-11.5,-105,11,-110,-11,-110,11,-110,-11,-110,11,-105,-11,-115,11,-103,-11,-117,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20161216
