game_id,Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open_line,away_open_odds,home_open_line,home_open_odds,away_pinnacle_line,away_pinnacle_odds,home_pinnacle_line,home_pinnacle_odds,away_fiveDimes_line,away_fiveDimes_odds,home_fiveDimes_line,home_fiveDimes_odds,away_bookmaker_line,away_bookmaker_odds,home_bookmaker_line,home_bookmaker_odds,away_BOL_line,away_BOL_odds,home_BOL_line,home_BOL_odds,away_Bovada_line,away_Bovada_odds,home_Bovada_line,home_Bovada_odds,away_Heritage_line,away_Heritage_odds,home_Heritage_line,home_Heritage_odds,away_Intertops_line,away_Intertops_odds,home_Intertops_line,home_Intertops_odds,away_youwager_line,away_youwager_odds,home_youwager_line,home_youwager_odds,away_justbet_line,away_justbet_odds,home_justbet_line,home_justbet_odds,away_sportsbet_line,away_sportsbet_odds,home_sportsbet_line,home_sportsbet_odds,oddsURL
20200122_NBA_DET_Sacramento,20200122,NBA,moneyline,full,Sacramento,Detroit,27,23,25,31,26,31,36,34,106,127,103,NA,-123,NA,-120,NA,108,NA,-123,NA,113,NA,-125,NA,105,NA,-122,NA,102,NA,-130,NA,110,NA,-130,NA,110,NA,-125,NA,105,NA,-130,NA,110,NA,-125,NA,105,NA,-122,NA,102,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20200122
20200122_NBA_Orlando_Oklahoma City,20200122,NBA,moneyline,full,Oklahoma City,Orlando,24,36,32,28,21,30,38,25,120,114,100,NA,-120,NA,127,NA,-141,NA,130,NA,-140,NA,115,NA,-135,NA,120,NA,-140,NA,120,NA,-140,NA,125,NA,-145,NA,125,NA,-145,NA,125,NA,-145,NA,115,NA,-135,NA,120,NA,-140,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20200122
20200122_NBA_Toronto_PHI,20200122,NBA,moneyline,full,Philadelphia,Toronto,35,15,22,23,26,24,26,31,95,107,203,NA,-245,NA,221,NA,-253,NA,220,NA,-240,NA,188,NA,-261,NA,NA,NA,NA,NA,205,NA,-245,NA,230,NA,-280,NA,215,NA,-255,NA,210,NA,-250,NA,188,NA,-261,NA,225,NA,-265,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20200122
20200122_NBA_ATL_LA,20200122,NBA,moneyline,full,LA,Atlanta,32,28,15,20,16,25,28,33,95,102,-185,NA,160,NA,-180,NA,161,NA,-185,NA,170,NA,-215,NA,158,NA,-195,NA,170,NA,-190,NA,165,NA,-205,NA,175,NA,-190,NA,165,NA,-190,NA,165,NA,-215,NA,158,NA,-195,NA,170,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20200122
20200122_NBA_Boston_Memphis,20200122,NBA,moneyline,full,Memphis,Boston,27,17,19,32,25,33,41,20,95,119,230,NA,-280,NA,250,NA,-289,NA,255,NA,-280,NA,256,NA,-315,NA,250,NA,-300,NA,NA,NA,NA,NA,260,NA,-320,NA,250,NA,-300,NA,240,NA,-300,NA,256,NA,-315,NA,250,NA,-300,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20200122
20200122_NBA_MIA_WAS,20200122,NBA,moneyline,full,Washington,Miami,27,23,33,35,11,30,39,21,129,134,447,NA,-600,NA,432,NA,-542,NA,450,NA,-525,NA,443,NA,-593,NA,420,NA,-525,NA,425,NA,-650,NA,460,NA,-610,NA,425,NA,-580,NA,430,NA,-550,NA,443,NA,-593,NA,420,NA,-525,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20200122
20200122_NBA_New York_L.A. Lakers,20200122,NBA,moneyline,full,L.A. Lakers,New York,28,20,28,24,25,23,22,22,100,92,-600,NA,447,NA,-680,NA,523,NA,-675,NA,550,NA,-700,NA,506,NA,-750,NA,550,NA,-750,NA,475,NA,-855,NA,605,NA,-720,NA,510,NA,-700,NA,525,NA,-700,NA,506,NA,-750,NA,550,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20200122
20200122_NBA_CHI_MIN,20200122,NBA,moneyline,full,Minnesota,Chicago,26,26,27,31,35,24,22,36,110,117,-115,NA,-105,NA,-102,NA,-108,NA,108,NA,-118,NA,-115,NA,-105,NA,-107,NA,-113,NA,NA,NA,NA,NA,100,NA,-120,NA,-105,NA,-115,NA,100,NA,-120,NA,-115,NA,-105,NA,-107,NA,-113,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20200122
20200122_NBA_HOU_DEN,20200122,NBA,moneyline,full,Denver,Houston,28,15,28,34,35,25,32,29,105,121,289,NA,-360,NA,448,NA,-565,NA,420,NA,-475,NA,447,NA,-600,NA,430,NA,-550,NA,400,NA,-600,NA,485,NA,-635,NA,440,NA,-600,NA,415,NA,-525,NA,447,NA,-600,NA,430,NA,-550,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20200122
20200122_NBA_Phoenix_Indiana,20200122,NBA,moneyline,full,Indiana,Phoenix,30,24,29,29,24,24,17,22,112,87,-114,NA,-106,NA,-111,NA,101,NA,-118,NA,108,NA,-115,NA,-105,NA,-117,NA,-103,NA,-125,NA,105,NA,-125,NA,105,NA,-115,NA,-105,NA,-120,NA,100,NA,-115,NA,-105,NA,-117,NA,-103,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20200122
