game_id,Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open_line,away_open_odds,home_open_line,home_open_odds,away_pinnacle_line,away_pinnacle_odds,home_pinnacle_line,home_pinnacle_odds,away_fiveDimes_line,away_fiveDimes_odds,home_fiveDimes_line,home_fiveDimes_odds,away_bookmaker_line,away_bookmaker_odds,home_bookmaker_line,home_bookmaker_odds,away_BOL_line,away_BOL_odds,home_BOL_line,home_BOL_odds,away_Bovada_line,away_Bovada_odds,home_Bovada_line,home_Bovada_odds,away_Heritage_line,away_Heritage_odds,home_Heritage_line,home_Heritage_odds,away_Intertops_line,away_Intertops_odds,home_Intertops_line,home_Intertops_odds,away_youwager_line,away_youwager_odds,home_youwager_line,home_youwager_odds,away_justbet_line,away_justbet_odds,home_justbet_line,home_justbet_odds,away_sportsbet_line,away_sportsbet_odds,home_sportsbet_line,home_sportsbet_odds,oddsURL
20161224_NFL_CHI_WAS,20161224,NFL,spread,full,Washington,Chicago,14,10,7,10,0,14,0,7,41,21,-3,-115,3,-105,-3,-102,3,-108,-3,-105,3,-115,-3,100,3,-120,-3,-105,3,-115,-3,-115,3,-105,-3,-105,3,-105,-3,-105,3,-115,-3,-105,3,-115,-3,100,3,-120,-3,-105,3,-115,https://classic.sportsbookreview.com/betting-odds/nfl-football/?date=20161224
20161224_NFL_NE_NYJ,20161224,NFL,spread,full,N.Y. Jets,New England,0,0,0,3,10,17,7,7,3,41,14.5,-115,-14.5,-105,17,-105,-17,-105,17.5,-120,-17.5,100,17,-115,-17,-105,17,-110,-17,-110,17,-110,-17,-110,17,-105,-17,-105,17,-115,-17,-105,17,-110,-17,-110,17,-115,-17,-105,17,-110,-17,-110,https://classic.sportsbookreview.com/betting-odds/nfl-football/?date=20161224
20161224_NFL_CLE_LAC,20161224,NFL,spread,full,San Diego,Cleveland,10,0,7,0,7,10,3,0,17,20,-6.5,-110,6.5,-110,-4.5,-103,4.5,-107,-4.5,-110,4.5,-110,-5,-105,5,-115,-4.5,-113,4.5,-107,-5.5,-110,5.5,-110,-4.5,-105,4.5,-105,-4.5,-115,4.5,-105,-5,-110,5,-110,-5,-105,5,-115,-4.5,-113,4.5,-107,https://classic.sportsbookreview.com/betting-odds/nfl-football/?date=20161224
20161224_NFL_BUF_MIA,20161224,NFL,spread,full,Miami,Buffalo,7,7,14,3,3,0,7,14,34,31,3,110,-3,-130,4.5,-102,-4.5,-108,5,-110,-5,-110,4.5,-105,-4.5,-115,4.5,-105,-4.5,-115,4.5,-105,-4.5,-115,5,-105,-5,-105,4.5,-105,-4.5,-115,5,-110,-5,-110,4.5,-105,-4.5,-115,4.5,-105,-4.5,-115,https://classic.sportsbookreview.com/betting-odds/nfl-football/?date=20161224
20161224_NFL_JAX_TEN,20161224,NFL,spread,full,Tennessee,Jacksonville,0,7,3,7,10,9,6,13,17,38,-3.5,-110,3.5,-110,-4,-105,4,-105,-4,-110,4,-110,-4,-105,4,-115,-4.5,-105,4.5,-115,-5,-110,5,-110,-4,-105,4,-105,-4.5,-105,4.5,-115,-4.5,-110,4.5,-110,-4,-105,4,-115,-4.5,-105,4.5,-115,https://classic.sportsbookreview.com/betting-odds/nfl-football/?date=20161224
20161224_NFL_GB_MIN,20161224,NFL,spread,full,Minnesota,Green Bay,3,10,0,12,14,14,0,10,25,38,7,-120,-7,100,6,-105,-6,-105,7,-135,-7,115,6,-110,-6,-110,6,-108,-6,-112,7,-115,-7,-105,6.5,-105,-6.5,-105,6.5,-105,-6.5,-115,7,-120,-7,100,6,-110,-6,-110,6,-108,-6,-112,https://classic.sportsbookreview.com/betting-odds/nfl-football/?date=20161224
20161224_NFL_CAR_ATL,20161224,NFL,spread,full,Atlanta,Carolina,13,7,3,10,0,3,10,3,33,16,-1.5,-110,1.5,-110,-3,-103,3,-107,-3,-105,3,-115,-3,-110,3,-110,-3,-110,3,-110,-3,-120,3,100,-3,-105,3,-105,-3,-110,3,-110,-3,-110,3,-110,-3,-110,3,-110,-3,-110,3,-110,https://classic.sportsbookreview.com/betting-odds/nfl-football/?date=20161224
20161224_NFL_OAK_IND,20161224,NFL,spread,full,Indianapolis,Oakland,0,7,7,11,0,19,14,0,25,33,4,-110,-4,-110,3.5,-108,-3.5,-102,3,105,-3,-125,3,105,-3,-125,3.5,-110,-3.5,-110,4,-115,-4,-105,3.5,-105,-3.5,-105,3.5,-115,-3.5,-105,3.5,-110,-3.5,-110,3,105,-3,-125,3.5,-110,-3.5,-110,https://classic.sportsbookreview.com/betting-odds/nfl-football/?date=20161224
20161224_NFL_NO_TB,20161224,NFL,spread,full,Tampa Bay,New Orleans,0,7,14,3,7,6,15,3,24,31,3,100,-3,-120,3,106,-3,-117,3,100,-3,-120,3,-101,-3,-119,3,100,-3,-120,3,-105,-3,-115,3,110,-3,-120,3,105,-3,-125,3,100,-3,-120,3,-101,-3,-119,3,100,-3,-120,https://classic.sportsbookreview.com/betting-odds/nfl-football/?date=20161224
20161224_NFL_SEA_ARZ,20161224,NFL,spread,full,Arizona,Seattle,7,7,0,20,0,3,7,21,34,31,7,104,-7,-126,9,-113,-9,102,10,-125,-10,105,8.5,-115,-8.5,-105,8.5,-110,-8.5,-110,9,-110,-9,-110,9,-105,-9,-105,9,-110,-9,-110,9,-110,-9,-110,8.5,-115,-8.5,-105,8.5,-110,-8.5,-110,https://classic.sportsbookreview.com/betting-odds/nfl-football/?date=20161224
20161224_NFL_LAR_SF,20161224,NFL,spread,full,San Francisco,Los Angeles,7,0,0,15,14,0,0,7,22,21,3,100,-3,-120,6,102,-6,-113,6,-110,-6,-110,6,-110,-6,-110,6,-110,-6,-110,5,100,-5,-120,6.5,-105,-6.5,-105,6,-110,-6,-110,6,-110,-6,-110,6,-110,-6,-110,6,-110,-6,-110,https://classic.sportsbookreview.com/betting-odds/nfl-football/?date=20161224
20161224_NFL_HOU_CIN,20161224,NFL,spread,full,Cincinnati,Houston,0,3,0,7,0,0,3,9,10,12,3,-122,-3,102,3,-110,-3,-100,2.5,115,-2.5,-135,3,-115,-3,-105,3,-115,-3,-105,3,100,-3,-120,3,-105,-3,-105,3,-105,-3,-115,3,-110,-3,-110,3,-115,-3,-105,3,-115,-3,-105,https://classic.sportsbookreview.com/betting-odds/nfl-football/?date=20161224
