game_id,Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open_line,away_open_odds,home_open_line,home_open_odds,away_pinnacle_line,away_pinnacle_odds,home_pinnacle_line,home_pinnacle_odds,away_fiveDimes_line,away_fiveDimes_odds,home_fiveDimes_line,home_fiveDimes_odds,away_bookmaker_line,away_bookmaker_odds,home_bookmaker_line,home_bookmaker_odds,away_BOL_line,away_BOL_odds,home_BOL_line,home_BOL_odds,away_Bovada_line,away_Bovada_odds,home_Bovada_line,home_Bovada_odds,away_Heritage_line,away_Heritage_odds,home_Heritage_line,home_Heritage_odds,away_Intertops_line,away_Intertops_odds,home_Intertops_line,home_Intertops_odds,away_youwager_line,away_youwager_odds,home_youwager_line,home_youwager_odds,away_justbet_line,away_justbet_odds,home_justbet_line,home_justbet_odds,away_sportsbet_line,away_sportsbet_odds,home_sportsbet_line,home_sportsbet_odds,oddsURL
20190922_NFL_GB_DEN,20190922,NFL,total,full,Denver,Green Bay,0,10,6,0,7,10,7,3,16,27,43.5,-110,43.5,-110,42,104,42,-116,41.5,-101,41.5,-109,41.5,-110,41.5,-110,41.5,-108,41.5,-112,41.5,-105,41.5,-115,41.5,-105,41.5,-105,41.5,-110,41.5,-110,41.5,-110,41.5,-110,41.5,-110,41.5,-110,41.5,-108,41.5,-112,https://classic.sportsbookreview.com/betting-odds/nfl-football/totals/?date=20190922
20190922_NFL_IND_ATL,20190922,NFL,total,full,Atlanta,Indianapolis,0,3,7,14,10,10,0,7,24,27,48,-110,48,-110,48,-107,48,-104,48,-107,48,-103,48,-110,48,-110,47,-121,47,101,48,-110,48,-110,48,-105,48,-105,48,-110,48,-110,48,-110,48,-110,48,-110,48,-110,47,-121,47,101,https://classic.sportsbookreview.com/betting-odds/nfl-football/totals/?date=20190922
20190922_NFL_KC_BAL,20190922,NFL,total,full,Baltimore,Kansas City,6,0,7,15,0,23,7,3,28,33,51.5,-110,51.5,-110,52,-103,52,-108,52.5,-103,52.5,-107,52,-110,52,-110,52,-112,52,-108,53,-105,53,-115,52,-105,52,-105,52.5,-110,52.5,-110,52.5,-110,52.5,-110,52,-110,52,-110,52,-112,52,-108,https://classic.sportsbookreview.com/betting-odds/nfl-football/totals/?date=20190922
20190922_NFL_BUF_CIN,20190922,NFL,total,full,Cincinnati,Buffalo,0,0,7,10,8,6,0,7,17,21,40.5,-110,40.5,-110,43.5,-107,43.5,-104,43.5,-109,43.5,-101,43.5,-115,43.5,-105,43.5,-113,43.5,-107,43.5,-110,43.5,-110,44,-105,44,-105,43.5,-110,43.5,-110,43.5,-110,43.5,-110,43.5,-115,43.5,-105,43.5,-113,43.5,-107,https://classic.sportsbookreview.com/betting-odds/nfl-football/totals/?date=20190922
20190922_NFL_NE_NYJ,20190922,NFL,total,full,N.Y. Jets,New England,0,0,7,7,13,7,10,0,14,30,45.5,-110,45.5,-110,43,-104,43,-107,43,-101,43,-109,43,-109,43,-111,43,-110,43,-110,43,-110,43,-110,43,-105,43,-105,43,-110,43,-110,43,-110,43,-110,43,-109,43,-111,43,-110,43,-110,https://classic.sportsbookreview.com/betting-odds/nfl-football/totals/?date=20190922
20190922_NFL_PHI_DET,20190922,NFL,total,full,Detroit,Philadelphia,7,13,0,7,10,0,7,7,27,24,49.5,-109,49.5,-111,45,103,45,-115,44.5,-105,44.5,-105,45,-105,45,-115,45,-107,45,-113,45,-110,45,-110,44.5,-105,44.5,-105,45,-105,45,-115,44.5,-110,44.5,-110,45,-105,45,-115,45,-107,45,-113,https://classic.sportsbookreview.com/betting-odds/nfl-football/totals/?date=20190922
20190922_NFL_MIN_OAK,20190922,NFL,total,full,Las Vegas,Minnesota,0,7,0,7,7,14,7,6,14,34,43,-110,43,-110,43,-114,43,102,43.5,-105,43.5,-105,43.5,-110,43.5,-110,43,-120,43,100,43.5,-110,43.5,-110,43.5,-105,43.5,-105,43.5,-110,43.5,-110,43.5,-110,43.5,-110,43.5,-110,43.5,-110,43,-120,43,100,https://classic.sportsbookreview.com/betting-odds/nfl-football/totals/?date=20190922
20190922_NFL_DAL_MIA,20190922,NFL,total,full,Miami,Dallas,3,3,0,0,10,0,14,7,6,31,47,-110,47,-110,46.5,-103,46.5,-108,46.5,-102,46.5,-108,46.5,-111,46.5,-109,46.5,-105,46.5,-115,46.5,-110,46.5,-110,46.5,-105,46.5,-105,46.5,-110,46.5,-110,46.5,-110,46.5,-110,46.5,-111,46.5,-109,46.5,-105,46.5,-115,https://classic.sportsbookreview.com/betting-odds/nfl-football/totals/?date=20190922
20190922_NFL_TB_NYG,20190922,NFL,total,full,N.Y. Giants,Tampa Bay,3,7,15,7,12,16,0,3,32,31,49,-110,49,-110,48,101,48,-113,48,-102,48,-108,48,-105,48,-115,47.5,-105,47.5,-115,47.5,-110,47.5,-110,47.5,-105,47.5,-105,48,-110,48,-110,48,-110,48,-110,48,-105,48,-115,47.5,-105,47.5,-115,https://classic.sportsbookreview.com/betting-odds/nfl-football/totals/?date=20190922
20190922_NFL_ARZ_CAR,20190922,NFL,total,full,Carolina,Arizona,0,14,14,10,7,3,10,0,38,20,43.5,-110,43.5,-110,46,-104,46,-107,45.5,-105,45.5,-105,46,-112,46,-108,46,-110,46,-110,46,-105,46,-115,46,-105,46,-105,45.5,-110,45.5,-110,46,-110,46,-110,46,-112,46,-108,46,-110,46,-110,https://classic.sportsbookreview.com/betting-odds/nfl-football/totals/?date=20190922
