game_id,Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open_line,away_open_odds,home_open_line,home_open_odds,away_pinnacle_line,away_pinnacle_odds,home_pinnacle_line,home_pinnacle_odds,away_fiveDimes_line,away_fiveDimes_odds,home_fiveDimes_line,home_fiveDimes_odds,away_bookmaker_line,away_bookmaker_odds,home_bookmaker_line,home_bookmaker_odds,away_BOL_line,away_BOL_odds,home_BOL_line,home_BOL_odds,away_Bovada_line,away_Bovada_odds,home_Bovada_line,home_Bovada_odds,away_Heritage_line,away_Heritage_odds,home_Heritage_line,home_Heritage_odds,away_Intertops_line,away_Intertops_odds,home_Intertops_line,home_Intertops_odds,away_youwager_line,away_youwager_odds,home_youwager_line,home_youwager_odds,away_justbet_line,away_justbet_odds,home_justbet_line,home_justbet_odds,away_sportsbet_line,away_sportsbet_odds,home_sportsbet_line,home_sportsbet_odds,oddsURL
20201004_NFL_DET_NO,20201004,NFL,moneyline,full,New Orleans,Detroit,7,21,7,0,14,0,7,8,35,29,-200,NA,170,NA,-155,NA,139,NA,-155,NA,145,NA,-155,NA,135,NA,-151,NA,131,NA,-165,NA,145,NA,-160,NA,140,NA,-155,NA,135,NA,-155,NA,135,NA,-160,NA,140,NA,-151,NA,131,NA,https://classic.sportsbookreview.com/betting-odds/nfl-football/money-line/?date=20201004
20201004_NFL_HOU_MIN,20201004,NFL,moneyline,full,Minnesota,Houston,7,10,7,7,0,6,10,7,31,23,155,NA,-180,NA,154,NA,-172,NA,158,NA,-168,NA,151,NA,-175,NA,155,NA,-175,NA,150,NA,-170,NA,150,NA,-170,NA,155,NA,-175,NA,150,NA,-170,NA,151,NA,-175,NA,155,NA,-175,NA,https://classic.sportsbookreview.com/betting-odds/nfl-football/money-line/?date=20201004
20201004_NFL_MIA_SEA,20201004,NFL,moneyline,full,Seattle,Miami,10,7,0,14,3,6,3,11,31,23,-300,NA,245,NA,-223,NA,196,NA,-210,NA,190,NA,-210,NA,176,NA,-226,NA,196,NA,-230,NA,190,NA,-210,NA,180,NA,-230,NA,190,NA,-225,NA,185,NA,-210,NA,176,NA,-226,NA,196,NA,https://classic.sportsbookreview.com/betting-odds/nfl-football/money-line/?date=20201004
20201004_NFL_DAL_CLE,20201004,NFL,moneyline,full,Cleveland,Dallas,7,24,10,8,14,0,0,24,49,38,184,NA,-220,NA,157,NA,-175,NA,160,NA,-170,NA,148,NA,-170,NA,165,NA,-190,NA,165,NA,-190,NA,155,NA,-175,NA,160,NA,-180,NA,155,NA,-175,NA,148,NA,-170,NA,165,NA,-190,NA,https://classic.sportsbookreview.com/betting-odds/nfl-football/money-line/?date=20201004
20201004_NFL_TB_LAC,20201004,NFL,moneyline,full,L.A. Chargers,Tampa Bay,14,10,7,0,7,7,14,10,31,38,292,NA,-365,NA,282,NA,-331,NA,320,NA,-355,NA,296,NA,-370,NA,280,NA,-350,NA,300,NA,-400,NA,300,NA,-370,NA,290,NA,-360,NA,270,NA,-350,NA,299,NA,-375,NA,280,NA,-350,NA,https://classic.sportsbookreview.com/betting-odds/nfl-football/money-line/?date=20201004
20201004_NFL_WAS_BAL,20201004,NFL,moneyline,full,Baltimore,Washington,7,14,7,3,0,10,0,7,31,17,-850,NA,588,NA,-958,NA,692,NA,-950,NA,750,NA,-962,NA,645,NA,-950,NA,670,NA,-1200,NA,700,NA,-895,NA,645,NA,-1000,NA,600,NA,-1000,NA,650,NA,-962,NA,645,NA,-950,NA,670,NA,https://classic.sportsbookreview.com/betting-odds/nfl-football/money-line/?date=20201004
20201004_NFL_CAR_ARZ,20201004,NFL,moneyline,full,Arizona,Carolina,0,7,7,7,14,7,7,3,21,31,-175,NA,151,NA,-157,NA,141,NA,-155,NA,145,NA,-162,NA,141,NA,-155,NA,135,NA,-170,NA,150,NA,-155,NA,135,NA,-160,NA,140,NA,-165,NA,145,NA,-160,NA,140,NA,-155,NA,135,NA,https://classic.sportsbookreview.com/betting-odds/nfl-football/money-line/?date=20201004
20201004_NFL_CIN_JAX,20201004,NFL,moneyline,full,Jacksonville,Cincinnati,7,6,0,12,3,7,17,6,25,33,142,NA,-162,NA,101,NA,-112,NA,103,NA,-113,NA,103,NA,-123,NA,100,NA,-120,NA,-105,NA,-115,NA,-105,NA,-115,NA,100,NA,-120,NA,100,NA,-120,NA,100,NA,-120,NA,100,NA,-120,NA,https://classic.sportsbookreview.com/betting-odds/nfl-football/money-line/?date=20201004
20201004_NFL_LAR_NYG,20201004,NFL,moneyline,full,N.Y. Giants,L.A. Rams,0,6,0,3,7,3,0,7,9,17,534,NA,-750,NA,640,NA,-870,NA,700,NA,-900,NA,614,NA,-900,NA,640,NA,-900,NA,700,NA,-1200,NA,630,NA,-880,NA,625,NA,-950,NA,600,NA,-900,NA,614,NA,-900,NA,640,NA,-900,NA,https://classic.sportsbookreview.com/betting-odds/nfl-football/money-line/?date=20201004
20201004_NFL_CHI_IND,20201004,NFL,moneyline,full,Indianapolis,Chicago,7,6,3,3,0,3,0,8,19,11,-145,NA,125,NA,-174,NA,156,NA,-182,NA,169,NA,-185,NA,160,NA,-175,NA,155,NA,-175,NA,155,NA,-190,NA,165,NA,-180,NA,160,NA,-185,NA,165,NA,-181,NA,156,NA,-175,NA,155,NA,https://classic.sportsbookreview.com/betting-odds/nfl-football/money-line/?date=20201004
20201004_NFL_OAK_BUF,20201004,NFL,moneyline,full,Buffalo,Las Vegas,7,10,0,13,3,10,3,7,30,23,-155,NA,135,NA,-172,NA,154,NA,-160,NA,150,NA,-175,NA,151,NA,-175,NA,155,NA,-180,NA,160,NA,-170,NA,150,NA,-170,NA,150,NA,-170,NA,150,NA,-173,NA,149,NA,-175,NA,155,NA,https://classic.sportsbookreview.com/betting-odds/nfl-football/money-line/?date=20201004
20201004_NFL_SF_PHI,20201004,NFL,moneyline,full,Philadelphia,San Francisco,8,0,3,14,7,0,7,6,25,20,237,NA,-290,NA,273,NA,-320,NA,315,NA,-345,NA,271,NA,-335,NA,285,NA,-355,NA,270,NA,-340,NA,300,NA,-380,NA,275,NA,-340,NA,255,NA,-330,NA,271,NA,-335,NA,285,NA,-355,NA,https://classic.sportsbookreview.com/betting-odds/nfl-football/money-line/?date=20201004
