TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,LINEUP_DESC,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION,CREATE_DTTM
IND,is-visit,INDORL,is-expected,Very Likely To Play,Edmond Sumner,Edmond Sumner,PG,2021-04-09 10:03:27.857055
IND,is-visit,INDORL,is-expected,Very Likely To Play,Caris LeVert,Caris LeVert,SG,2021-04-09 10:03:27.857055
IND,is-visit,INDORL,is-expected,Very Likely To Play,Justin Holiday,J. Holiday,SF,2021-04-09 10:03:27.857055
IND,is-visit,INDORL,is-expected,Very Likely To Play,Doug McDermott,D. McDermott,PF,2021-04-09 10:03:27.857055
IND,is-visit,INDORL,is-expected,Very Likely To Play,Goga Bitadze,Goga Bitadze,C,2021-04-09 10:03:27.857055
IND,is-visit,INDORL,,Toss Up To Play,Malcolm Brogdon,M. Brogdon,G,2021-04-09 10:03:27.857055
IND,is-visit,INDORL,,Toss Up To Play,Domantas Sabonis,D. Sabonis,C,2021-04-09 10:03:27.857055
IND,is-visit,INDORL,,Very Unlikely To Play,Myles Turner,M. Turner,C,2021-04-09 10:03:27.857055
ORL,is-home,INDORL,is-expected,Very Likely To Play,Michael Carter-Williams,M. Carter-Williams,PG,2021-04-09 10:03:27.857055
ORL,is-home,INDORL,is-expected,Very Likely To Play,Dwayne Bacon,Dwayne Bacon,SG,2021-04-09 10:03:27.857055
ORL,is-home,INDORL,is-expected,Very Likely To Play,James Ennis,James Ennis,SF,2021-04-09 10:03:27.857055
ORL,is-home,INDORL,is-expected,Very Likely To Play,Chuma Okeke,Chuma Okeke,PF,2021-04-09 10:03:27.857055
ORL,is-home,INDORL,is-expected,Very Likely To Play,Wendell Carter,W. Carter,C,2021-04-09 10:03:27.857055
ORL,is-home,INDORL,,Very Unlikely To Play,Karim Mane,Karim Mane,G,2021-04-09 10:03:27.857055
ORL,is-home,INDORL,,Very Unlikely To Play,Otto Porter,O. Porter,F,2021-04-09 10:03:27.857055
MIN,is-visit,MINBOS,is-expected,Very Likely To Play,Ricky Rubio,Ricky Rubio,PG,2021-04-09 10:03:27.857055
MIN,is-visit,MINBOS,is-expected,Very Likely To Play,Anthony Edwards,A. Edwards,SG,2021-04-09 10:03:27.857055
MIN,is-visit,MINBOS,is-expected,Likely To Play,Josh Okogie,J. Okogie,SF,2021-04-09 10:03:27.857055
MIN,is-visit,MINBOS,is-expected,Very Likely To Play,Jaden McDaniels,J. McDaniels,PF,2021-04-09 10:03:27.857055
MIN,is-visit,MINBOS,is-expected,Very Likely To Play,Karl-Anthony Towns,K. Towns,C,2021-04-09 10:03:27.857055
MIN,is-visit,MINBOS,,Likely To Play,Josh Okogie,J. Okogie,F,2021-04-09 10:03:27.857055
MIN,is-visit,MINBOS,,Unlikely To Play,Jaylen Nowell,J. Nowell,G,2021-04-09 10:03:27.857055
MIN,is-visit,MINBOS,,Very Unlikely To Play,Malik Beasley,M. Beasley,G,2021-04-09 10:03:27.857055
BOS,is-home,MINBOS,is-expected,Very Likely To Play,Kemba Walker,Kemba Walker,PG,2021-04-09 10:03:27.857055
BOS,is-home,MINBOS,is-expected,Very Likely To Play,Marcus Smart,Marcus Smart,SG,2021-04-09 10:03:27.857055
BOS,is-home,MINBOS,is-expected,Very Likely To Play,Jaylen Brown,Jaylen Brown,SF,2021-04-09 10:03:27.857055
BOS,is-home,MINBOS,is-expected,Very Likely To Play,Jayson Tatum,Jayson Tatum,PF,2021-04-09 10:03:27.857055
BOS,is-home,MINBOS,is-expected,Very Likely To Play,Robert Williams,R. Williams,C,2021-04-09 10:03:27.857055
BOS,is-home,MINBOS,,Very Unlikely To Play,Evan Fournier,E. Fournier,G,2021-04-09 10:03:27.857055
MEM,is-visit,MEMNY,is-expected,Very Likely To Play,Ja Morant,Ja Morant,PG,2021-04-09 10:03:27.857055
MEM,is-visit,MEMNY,is-expected,Very Likely To Play,Grayson Allen,Grayson Allen,SG,2021-04-09 10:03:27.857055
MEM,is-visit,MEMNY,is-expected,Very Likely To Play,Dillon Brooks,Dillon Brooks,SF,2021-04-09 10:03:27.857055
MEM,is-visit,MEMNY,is-expected,Very Likely To Play,Kyle Anderson,Kyle Anderson,PF,2021-04-09 10:03:27.857055
MEM,is-visit,MEMNY,is-expected,Very Likely To Play,Jonas Valanciunas,J. Valanciunas,C,2021-04-09 10:03:27.857055
MEM,is-visit,MEMNY,,Unlikely To Play,Brandon Clarke,B. Clarke,F,2021-04-09 10:03:27.857055
MEM,is-visit,MEMNY,,Very Unlikely To Play,Jaren Jackson,J. Jackson,F,2021-04-09 10:03:27.857055
MEM,is-visit,MEMNY,,Very Unlikely To Play,De'Anthony Melton,D. Melton,G,2021-04-09 10:03:27.857055
MEM,is-visit,MEMNY,,Very Unlikely To Play,Justise Winslow,J. Winslow,F,2021-04-09 10:03:27.857055
NYK,is-home,MEMNY,is-expected,Very Likely To Play,Elfrid Payton,Elfrid Payton,PG,2021-04-09 10:03:27.857055
NYK,is-home,MEMNY,is-expected,Very Likely To Play,Reggie Bullock,R. Bullock,SG,2021-04-09 10:03:27.857055
NYK,is-home,MEMNY,is-expected,Very Likely To Play,RJ Barrett,RJ Barrett,SF,2021-04-09 10:03:27.857055
NYK,is-home,MEMNY,is-expected,Very Likely To Play,Julius Randle,Julius Randle,PF,2021-04-09 10:03:27.857055
NYK,is-home,MEMNY,is-expected,Very Likely To Play,Nerlens Noel,Nerlens Noel,C,2021-04-09 10:03:27.857055
NYK,is-home,MEMNY,,Very Unlikely To Play,John Henson,J. Henson,C,2021-04-09 10:03:27.857055
NYK,is-home,MEMNY,,Very Unlikely To Play,Mitchell Robinson,M. Robinson,C,2021-04-09 10:03:27.857055
CHI,is-visit,CHIATL,is-expected,Very Likely To Play,Tomas Satoransky,T. Satoransky,PG,2021-04-09 10:03:27.857055
CHI,is-visit,CHIATL,is-expected,Very Likely To Play,Zach LaVine,Zach LaVine,SG,2021-04-09 10:03:27.857055
CHI,is-visit,CHIATL,is-expected,Very Likely To Play,Patrick Williams,P. Williams,SF,2021-04-09 10:03:27.857055
